id,login,BordaCount,12MonthActivityNum,Authority,FollowersNum,ForkedHindex,WatcherHindex,usrPageRankScore
9043054,"g4lvanix",7938,1073,8842,1492,25,54,17298
9047326,"PeratX",8352,1053,6615,1493,31,57,21013
9056792,"liuzhiyi1992",6226,1041,5451,1156,31,50,14786
9074161,"secmob",6489,1076,2570,1372,30,53,18413
9089059,"amit4alljava",14418,1068,14391,1285,30,55,34992
9093982,"VctrySam",1884,1041,893,1165,32,51,4479
9114691,"fengnanyue",3803,1068,2991,1055,32,56,8760
9114918,"shiftcurrency",17668,1059,42232,1538,30,58,18356
9126504,"andremion",8195,1033,1973,1388,32,53,25194
9158670,"PeytonsProfile",10462,1071,7217,1330,32,59,28045
9182325,"hyde2able",16613,761,11231,1534,31,57,45866
9183485,"LionSec",8587,1078,4412,1390,30,57,24087
9184275,"Imandaneshi",5882,1071,3005,1446,31,52,15690
9190279,"horance-liu",14168,1052,2987,1450,31,57,45324
9191610,"bradwright",9853,1049,29767,1427,29,57,3452
9209972,"lukaszx0",9624,1032,10005,1346,31,59,22390
9211479,"shoshindes",683,1080,353,281,31,57,1786
9218591,"GPBeta",6494,1079,5734,1473,32,58,15146
9222500,"jackhutu",6974,1059,12562,1257,30,48,10299
9225899,"xcc3641",8705,1036,6971,1340,31,55,22064
9225993,"gmkhussain",3329,1074,2128,995,32,57,7989
9228398,"YixuanFranco",14967,1024,31621,1385,28,56,19570
9230371,"gs-teacher",1053,978,1417,1420,31,60,908
9242906,"nigelpoulton",5573,1050,7984,1513,31,59,9655
9246924,"Haobaoshui",13936,1078,8002,1523,32,58,39386
9249901,"v2ray",2635,1039,636,1091,30,57,7211
9254362,"bam59cst112day",6431,1080,15840,1539,24,60,4750
9256394,"Gesh4o",16371,1063,12624,1523,32,59,43340
9256807,"jmuppala",12201,1069,6223,1485,32,55,35155
9259633,"dzdykes",8970,1055,6676,1523,31,59,23151
9289002,"f13x05",13786,1043,11417,1532,31,58,35541
9306152,"pl2015lp",10348,1080,21183,1529,32,60,13519
9312817,"dinuscxj",6812,1069,3835,1302,30,54,18432
9314825,"guo-yu",481,1075,469,328,24,49,912
9318355,"xulingbo",4286,1074,1318,1342,32,60,11856
9321279,"g16bogner",8794,1078,9018,1526,31,59,20159
9321512,"Zippowxk",17129,1074,13288,1511,30,58,45450
9341120,"sevazhidkov",12465,995,9310,1509,31,58,33023
9351178,"packetb-old",10889,1080,18110,1499,29,58,18607
9357581,"freeeve",13342,1062,33736,1474,29,57,11751
9370159,"emmanuel789",4410,1032,6931,1527,31,59,6538
9389087,"giraffe0813",15545,1061,37483,1362,31,55,15752
9396625,"aychtang",11480,1073,18316,1414,30,59,20663
9397050,"annapirova",14419,1077,27096,1546,30,60,22014
9402034,"in28minutes",2213,1070,1112,1209,31,52,5387
9414688,"hxlnt",5131,1046,7794,1472,31,54,8299
9417399,"eserozvataf",14912,1004,37176,1376,29,54,13855
9420850,"kosalgeek",7740,1074,4239,1405,32,56,21235
9428214,"heinsaar",17222,1070,46353,1527,30,58,12725
9444642,"emineekin",17498,1074,28143,1541,32,60,31885
9458929,"w3cj",16180,1009,5244,1516,32,57,50070
9474689,"CoderJackyHuang",913,1038,452,471,28,35,2347
9480410,"kerimovscreations",14291,1048,10333,1533,31,59,38288
9483363,"TheOfficialFloW",15813,1029,8501,1483,32,56,45569
9483468,"dktapps",12126,878,7628,1508,32,58,33662
9485988,"XcodeGhostSource",16222,1080,38426,1391,32,60,17069
9537691,"ptmt",9258,993,11778,1352,30,52,19409
9540398,"nelsera",17591,1044,21361,1474,30,59,39064
9549233,"MaiaVictor",11417,1001,4082,1476,29,51,34694
9571157,"tiffanyfj",16061,979,4686,1493,32,59,50318
9572210,"Wl201314",11130,1070,3632,1433,31,55,34022
9576320,"vasco2ramos",14018,1060,6297,1519,31,59,41412
9594269,"Beau-zihan",16520,1077,47731,1241,30,53,9023
9594972,"y123456yz",11876,1068,2183,1420,31,54,38162
9604894,"andrelago13",16993,1065,10063,1530,32,59,48164
9621541,"marulango",5792,1065,2044,1388,31,59,16443
9624128,"svail",6865,1072,3046,1428,32,57,19264
9629735,"toygar",13873,1074,19473,1438,32,57,27803
9638285,"freire45",16395,1079,4639,1322,32,59,51589
9639052,"mikeweller13",14879,1054,31145,1539,31,60,19565
9641528,"rbuussyghin",16197,1071,51833,1461,30,59,3528
9641546,"zp-j",11573,1044,14415,1472,31,56,24858
9701922,"mxgmn",2341,1076,1187,1254,32,57,5586
9709021,"jamen",9977,515,8736,1440,30,54,25360
9725113,"hex-ci",7412,1053,17188,1262,29,57,7192
9735751,"joanna-chen",7053,1060,8843,1498,32,58,14008
9749545,"rickycodes",12039,1047,33203,1463,31,56,7677
9770294,"abehaskins",17782,1057,29866,1412,29,57,31271
10002934,"thimbl",7769,1080,13167,1464,31,60,12345
10012192,"dimok789",11524,1057,6829,1468,30,50,32267
10024461,"drbobrinkman",2767,1060,2893,1475,31,59,4956
10036600,"rbunch-dc",9263,983,2590,1496,31,58,28480
10037756,"coulton",14111,1080,9559,1519,32,60,38457
10040304,"wingo",7780,844,4179,1481,32,57,21597
10041841,"ChiefZenoni",17907,1077,48302,1543,32,59,13080
10055013,"liuling07",9356,1077,10434,1266,29,51,21102
10059862,"Lukeghenco",16881,474,12314,1528,31,59,46083
10092154,"hadesyi",15883,1042,4793,1366,30,58,49634
10101635,"giando",8840,1072,4199,1240,32,60,25428
10108147,"FabricioMaranhao",17833,1078,39937,1545,32,60,21209
10113823,"ilopmar",11994,1051,6946,1447,30,57,33817
10116567,"IFMO-Android-2015",12391,1080,9939,1521,27,60,32078
10156306,"mdelrio1",16868,1065,26814,1543,31,60,30932
10156417,"rdornel",13388,1075,12161,1494,31,58,33462
10160771,"delapuente",7153,888,6752,1468,30,55,16710
10161230,"DylanGuidry95",10048,1040,11680,1523,29,59,22012
10161617,"laobie",7543,1019,6945,1306,30,51,17923
10163703,"cl4rke",8990,1068,10209,1436,31,57,19766
10177455,"AndriansyahYr",5082,1071,7605,1513,30,59,8245
10182850,"unicodeveloper",3370,854,7817,928,29,44,2724
10201035,"TBXark",15868,1049,15077,1456,30,55,39193
10201243,"xfzhang",12226,1079,10782,1504,32,60,30676
10204858,"jacklule",17157,1060,37814,1547,32,58,21037
10208035,"EmilyLarkin",4930,1024,3655,1502,32,59,11713
10218254,"GeniusVJR",4740,1004,5617,1111,31,53,9487
10222024,"VisaDeveloperProgram",8690,1080,6609,1464,32,60,22190
10226036,"stacydubleu",18062,1056,15064,1537,32,59,46917
10228584,"hussien89aa",6372,1040,3003,1095,31,51,17868
10260314,"zhouxiaotian",6553,1070,2497,1467,32,59,18578
10273177,"NicodeLee",14809,1061,13827,1422,31,57,36780
10273466,"nickbryanmiller",16501,998,15952,1538,32,58,40525
10287794,"mgol",4913,810,3672,1190,28,57,12179
10291966,"quiqlabs",3368,1078,2064,1450,32,59,7710
10296553,"christianvuerings",17443,965,33939,1455,30,59,26083
10299983,"italia-it",5252,1069,3101,1432,31,57,13473
10302936,"lattner",174,1079,74,223,32,60,228
10314544,"deedy",2937,1079,2832,1107,29,57,5884
10319052,"MRandomMax",13736,1079,12830,1507,31,58,33939
10320275,"Harrisonkamau",17665,997,6101,1522,32,59,54557
10320857,"skerimov",9371,1075,5339,1522,31,59,25985
